Time resolution is 1 ps
T=0 At time 
BAUD T=489000 At time 
BAUD T=491000 At time 
BAUD T=493000 At time 
BAUD T=495000 At time 
BAUD T=497000 At time 
BAUD T=499000 At time 
BAUD T=501000 At time 
BAUD T=503000 At time 
BAUD T=505000 At time 
BAUD T=507000 At time 
BAUD T=509000 At time 
BAUD T=511000 At time 
BAUD T=513000 At time 
BAUD T=515000 At time 
BAUD T=517000 At time 
BAUD T=519000 At time 
BAUD T=521000 At time 
BAUD T=523000 At time 
BAUD T=525000 At time 
BAUD T=527000 At time 
BAUD T=529000 At time 
BAUD T=531000 At time 
BAUD T=533000 At time 
BAUD T=535000 At time 
BAUD T=537000 At time 
BAUD T=539000 At time 
BAUD T=541000 At time 
BAUD T=543000 At time 
BAUD T=545000 At time 
BAUD T=547000 At time 
BAUD T=549000 At time 
BAUD T=551000 At time 
BAUD T=553000 At time 
BAUD T=555000 At time 
BAUD T=557000 At time 
BAUD T=559000 At time 
BAUD T=561000 At time 
BAUD T=563000 At time 
BAUD T=565000 At time 
BAUD T=567000 At time 
BAUD T=569000 At time 
BAUD T=571000 At time 
BAUD T=573000 At time 
BAUD T=575000 At time 
BAUD T=577000 At time 
BAUD T=579000 At time 
BAUD T=581000 At time 
BAUD T=583000 At time 
BAUD T=585000 At time 
BAUD T=587000 At time 
BAUD T=589000 At time 
BAUD T=591000 At time 
BAUD T=593000 At time 
BAUD T=595000 At time 
BAUD T=597000 At time 
BAUD T=599000 At time 
BAUD T=601000 At time 
BAUD T=603000 At time 
BAUD T=605000 At time 
BAUD T=607000 At time 
BAUD T=609000 At time 
BAUD T=611000 At time 
BAUD T=613000 At time 
BAUD T=615000 At time 
BAUD T=617000 At time 
BAUD T=619000 At time 
BAUD T=621000 At time 
BAUD T=623000 At time 
BAUD T=625000 At time 
BAUD T=627000 At time 
BAUD T=629000 At time 
BAUD T=631000 At time 
BAUD T=633000 At time 
BAUD T=635000 At time 
BAUD T=637000 At time 
BAUD T=639000 At time 
BAUD T=641000 At time 
BAUD T=643000 At time 
BAUD T=645000 At time 
BAUD T=647000 At time 
BAUD T=649000 At time 
BAUD T=651000 At time 
BAUD T=653000 At time 
BAUD T=655000 At time 
BAUD T=657000 At time 
BAUD T=659000 At time 
BAUD T=661000 At time 
BAUD T=663000 At time 
BAUD T=665000 At time 
BAUD T=667000 At time 
BAUD T=669000 At time 
BAUD T=671000 At time 
BAUD T=673000 At time 
BAUD T=675000 At time 
BAUD T=677000 At time 
BAUD T=679000 At time 
BAUD T=681000 At time 
BAUD T=683000 At time 
BAUD T=685000 At time 
BAUD T=687000 At time 
BAUD T=689000 At time 
BAUD T=691000 At time 
BAUD T=693000 At time 
BAUD T=695000 At time 
BAUD T=697000 At time 
BAUD T=699000 At time 
BAUD T=701000 At time 
BAUD T=703000 At time 
BAUD T=705000 At time 
BAUD T=707000 At time 
BAUD T=709000 At time 
BAUD T=711000 At time 
BAUD T=713000 At time 
BAUD T=715000 At time 
BAUD T=717000 At time 
BAUD T=719000 At time 
BAUD T=721000 At time 
BAUD T=723000 At time 
BAUD T=725000 At time 
BAUD T=727000 At time 
BAUD T=729000 At time 
BAUD T=731000 At time 
BAUD T=733000 At time 
BAUD T=735000 At time 
BAUD T=737000 At time 
BAUD T=739000 At time 
BAUD T=741000 At time 
BAUD T=743000 At time 
BAUD T=745000 At time 
BAUD T=747000 At time 
BAUD T=749000 At time 
BAUD T=751000 At time 
BAUD T=753000 At time 
BAUD T=755000 At time 
BAUD T=757000 At time 
BAUD T=759000 At time 
BAUD T=761000 At time 
BAUD T=763000 At time 
BAUD T=765000 At time 
BAUD T=767000 At time 
BAUD T=769000 At time 
BAUD T=771000 At time 
BAUD T=773000 At time 
BAUD T=775000 At time 
BAUD T=777000 At time 
BAUD T=779000 At time 
BAUD T=781000 At time 
BAUD T=783000 At time 
BAUD T=785000 At time 
BAUD T=787000 At time 
BAUD T=789000 At time 
BAUD T=791000 At time 
BAUD T=793000 At time 
BAUD T=795000 At time 
BAUD T=797000 At time 
BAUD T=799000 At time 
BAUD T=801000 At time 
BAUD T=803000 At time 
BAUD T=805000 At time 
BAUD T=807000 At time 
BAUD T=809000 At time 
BAUD T=811000 At time 
BAUD T=813000 At time 
BAUD T=815000 At time 
BAUD T=817000 At time 
BAUD T=819000 At time 
BAUD T=821000 At time 
BAUD T=823000 At time 
BAUD T=825000 At time 
BAUD T=827000 At time 
BAUD T=829000 At time 
BAUD T=831000 At time 
BAUD T=833000 At time 
BAUD T=835000 At time 
BAUD T=837000 At time 
BAUD T=839000 At time 
BAUD T=841000 At time 
BAUD T=843000 At time 
BAUD T=845000 At time 
BAUD T=847000 At time 
BAUD T=849000 At time 
BAUD T=851000 At time 
BAUD T=853000 At time 
BAUD T=855000 At time 
BAUD T=857000 At time 
BAUD T=859000 At time 
BAUD T=861000 At time 
BAUD T=863000 At time 
BAUD T=865000 At time 
BAUD T=867000 At time 
BAUD T=869000 At time 
BAUD T=871000 At time 
BAUD T=873000 At time 
BAUD T=875000 At time 
BAUD T=877000 At time 
BAUD T=879000 At time 
BAUD T=881000 At time 
BAUD T=883000 At time 
BAUD T=885000 At time 
BAUD T=887000 At time 
BAUD T=889000 At time 
BAUD T=891000 At time 
BAUD T=893000 At time 
BAUD T=895000 At time 
BAUD T=897000 At time 
BAUD T=899000 At time 
BAUD T=901000 At time 
BAUD T=903000 At time 
BAUD T=905000 At time 
BAUD T=907000 At time 
BAUD T=909000 At time 
BAUD T=911000 At time 
BAUD T=913000 At time 
BAUD T=915000 At time 
BAUD T=917000 At time 
BAUD T=919000 At time 
BAUD T=921000 At time 
BAUD T=923000 At time 
BAUD T=925000 At time 
BAUD T=927000 At time 
BAUD T=929000 At time 
BAUD T=931000 At time 
BAUD T=933000 At time 
BAUD T=935000 At time 
BAUD T=937000 At time 
BAUD T=939000 At time 
BAUD T=941000 At time 
BAUD T=943000 At time 
BAUD T=945000 At time 
BAUD T=947000 At time 
BAUD T=949000 At time 
BAUD T=951000 At time 
BAUD T=953000 At time 
BAUD T=955000 At time 
BAUD T=957000 At time 
BAUD T=959000 At time 
BAUD T=961000 At time 
BAUD T=963000 At time 
BAUD T=965000 At time 
BAUD T=967000 At time 
BAUD T=969000 At time 
BAUD T=971000 At time 
BAUD T=973000 At time 
BAUD T=975000 At time 
BAUD T=977000 At time 
BAUD T=979000 At time 
BAUD T=981000 At time 
BAUD T=983000 At time 
BAUD T=985000 At time 
BAUD T=987000 At time 
BAUD T=989000 At time 
BAUD T=991000 At time 
BAUD T=993000 At time 
BAUD T=995000 At time 
BAUD T=997000 At time 
BAUD T=999000 At time 
BAUD T=1001000 At time 
BAUD T=1003000 At time 
BAUD T=1005000 At time 
BAUD T=1007000 At time 
BAUD T=1009000 At time 
BAUD T=1011000 At time 
BAUD T=1013000 At time 
BAUD T=1015000 At time 
BAUD T=1017000 At time 
BAUD T=1019000 At time 
BAUD T=1021000 At time 
BAUD T=1023000 At time 
BAUD T=1025000 At time 
BAUD T=1027000 At time 
BAUD T=1029000 At time 
BAUD T=1031000 At time 
BAUD T=1033000 At time 
BAUD T=1035000 At time 
BAUD T=1037000 At time 
BAUD T=1039000 At time 
BAUD T=1041000 At time 
BAUD T=1043000 At time 
BAUD T=1045000 At time 
BAUD T=1047000 At time 
BAUD T=1049000 At time 
BAUD T=1051000 At time 
BAUD T=1053000 At time 
BAUD T=1055000 At time 
BAUD T=1057000 At time 
BAUD T=1059000 At time 
BAUD T=1061000 At time 
BAUD T=1063000 At time 
BAUD T=1065000 At time 
BAUD T=1067000 At time 
BAUD T=1069000 At time 
BAUD T=1071000 At time 
BAUD T=1073000 At time 
BAUD T=1075000 At time 
BAUD T=1077000 At time 
BAUD T=1079000 At time 
BAUD T=1081000 At time 
BAUD T=1083000 At time 
BAUD T=1085000 At time 
BAUD T=1087000 At time 
BAUD T=1089000 At time 
BAUD T=1091000 At time 
BAUD T=1093000 At time 
BAUD T=1095000 At time 
BAUD T=1097000 At time 
BAUD T=1099000 At time 
BAUD T=1101000 At time 
BAUD T=1103000 At time 
BAUD T=1105000 At time 
BAUD T=1107000 At time 
BAUD T=1109000 At time 
BAUD T=1111000 At time 
BAUD T=1113000 At time 
BAUD T=1115000 At time 
BAUD T=1117000 At time 
BAUD T=1119000 At time 
BAUD T=1121000 At time 
BAUD T=1123000 At time 
BAUD T=1125000 At time 
BAUD T=1127000 At time 
BAUD T=1129000 At time 
BAUD T=1131000 At time 
BAUD T=1133000 At time 
BAUD T=1135000 At time 
BAUD T=1137000 At time 
BAUD T=1139000 At time 
BAUD T=1141000 At time 
BAUD T=1143000 At time 
BAUD T=1145000 At time 
BAUD T=1147000 At time 
BAUD T=1149000 At time 
BAUD T=1151000 At time 
BAUD T=1153000 At time 
BAUD T=1155000 At time 
BAUD T=1157000 At time 
BAUD T=1159000 At time 
BAUD T=1161000 At time 
BAUD T=1163000 At time 
BAUD T=1165000 At time 
BAUD T=1167000 At time 
BAUD T=1169000 At time 
BAUD T=1171000 At time 
BAUD T=1173000 At time 
BAUD T=1175000 At time 
BAUD T=1177000 At time 
BAUD T=1179000 At time 
BAUD T=1181000 At time 
BAUD T=1183000 At time 
BAUD T=1185000 At time 
BAUD T=1187000 At time 
BAUD T=1189000 At time 
BAUD T=1191000 At time 
BAUD T=1193000 At time 
BAUD T=1195000 At time 
BAUD T=1197000 At time 
BAUD T=1199000 At time 
BAUD T=1201000 At time 
BAUD T=1203000 At time 
BAUD T=1205000 At time 
BAUD T=1207000 At time 
BAUD T=1209000 At time 
BAUD T=1211000 At time 
BAUD T=1213000 At time 
BAUD T=1215000 At time 
BAUD T=1217000 At time 
BAUD T=1219000 At time 
BAUD T=1221000 At time 
BAUD T=1223000 At time 
BAUD T=1225000 At time 
BAUD T=1227000 At time 
BAUD T=1229000 At time 
BAUD T=1231000 At time 
BAUD T=1233000 At time 
BAUD T=1235000 At time 
BAUD T=1237000 At time 
BAUD T=1239000 At time 
BAUD T=1241000 At time 
BAUD T=1243000 At time 
BAUD T=1245000 At time 
BAUD T=1247000 At time 
BAUD T=1249000 At time 
BAUD T=1251000 At time 
BAUD T=1253000 At time 
BAUD T=1255000 At time 
BAUD T=1257000 At time 
BAUD T=1259000 At time 
BAUD T=1261000 At time 
BAUD T=1263000 At time 
BAUD T=1265000 At time 
BAUD T=1267000 At time 
BAUD T=1269000 At time 
BAUD T=1271000 At time 
BAUD T=1273000 At time 
BAUD T=1275000 At time 
BAUD T=1277000 At time 
BAUD T=1279000 At time 
BAUD T=1281000 At time 
BAUD T=1283000 At time 
BAUD T=1285000 At time 
BAUD T=1287000 At time 
BAUD T=1289000 At time 
BAUD T=1291000 At time 
BAUD T=1293000 At time 
BAUD T=1295000 At time 
BAUD T=1297000 At time 
BAUD T=1299000 At time 
BAUD T=1301000 At time 
BAUD T=1303000 At time 
BAUD T=1305000 At time 
BAUD T=1307000 At time 
BAUD T=1309000 At time 
BAUD T=1311000 At time 
BAUD T=1313000 At time 
BAUD T=1315000 At time 
BAUD T=1317000 At time 
BAUD T=1319000 At time 
BAUD T=1321000 At time 
BAUD T=1323000 At time 
BAUD T=1325000 At time 
BAUD T=1327000 At time 
BAUD T=1329000 At time 
BAUD T=1331000 At time 
BAUD T=1333000 At time 
BAUD T=1335000 At time 
BAUD T=1337000 At time 
BAUD T=1339000 At time 
BAUD T=1341000 At time 
BAUD T=1343000 At time 
BAUD T=1345000 At time 
BAUD T=1347000 At time 
BAUD T=1349000 At time 
BAUD T=1351000 At time 
BAUD T=1353000 At time 
BAUD T=1355000 At time 
BAUD T=1357000 At time 
BAUD T=1359000 At time 
BAUD T=1361000 At time 
BAUD T=1363000 At time 
BAUD T=1365000 At time 
BAUD T=1367000 At time 
BAUD T=1369000 At time 
BAUD T=1371000 At time 
BAUD T=1373000 At time 
BAUD T=1375000 At time 
BAUD T=1377000 At time 
BAUD T=1379000 At time 
BAUD T=1381000 At time 
BAUD T=1383000 At time 
BAUD T=1385000 At time 
BAUD T=1387000 At time 
BAUD T=1389000 At time 
BAUD T=1391000 At time 
BAUD T=1393000 At time 
BAUD T=1395000 At time 
BAUD T=1397000 At time 
BAUD T=1399000 At time 
BAUD T=1401000 At time 
BAUD T=1403000 At time 
BAUD T=1405000 At time 
BAUD T=1407000 At time 
BAUD T=1409000 At time 
BAUD T=1411000 At time 
BAUD T=1413000 At time 
BAUD T=1415000 At time 
BAUD T=1417000 At time 
BAUD T=1419000 At time 
BAUD T=1421000 At time 
BAUD T=1423000 At time 
BAUD T=1425000 At time 
BAUD T=1427000 At time 
BAUD T=1429000 At time 
BAUD T=1431000 At time 
BAUD T=1433000 At time 
BAUD T=1435000 At time 
BAUD T=1437000 At time 
BAUD T=1439000 At time 
BAUD T=1441000 At time 
BAUD T=1443000 At time 
BAUD T=1445000 At time 
BAUD T=1447000 At time 
BAUD T=1449000 At time 
BAUD T=1451000 At time 
BAUD T=1453000 At time 
BAUD T=1455000 At time 
BAUD T=1457000 At time 
BAUD T=1459000 At time 
BAUD T=1461000 At time 
BAUD T=1463000 At time 
BAUD T=1465000 At time 
BAUD T=1467000 At time 
BAUD T=1469000 At time 
BAUD T=1471000 At time 
BAUD T=1473000 At time 
BAUD T=1475000 At time 
BAUD T=1477000 At time 
BAUD T=1479000 At time 
BAUD T=1481000 At time 
BAUD T=1483000 At time 
BAUD T=1485000 At time 
BAUD T=1487000 At time 
BAUD T=1489000 At time 
BAUD T=1491000 At time 
BAUD T=1493000 At time 
BAUD T=1495000 At time 
BAUD T=1497000 At time 
BAUD T=1499000 At time 
BAUD T=1501000 At time 
BAUD T=1503000 At time 
BAUD T=1505000 At time 
BAUD T=1507000 At time 
BAUD T=1509000 At time 
BAUD T=1511000 At time 
BAUD T=1513000 At time 
BAUD T=1515000 At time 
BAUD T=1517000 At time 
BAUD T=1519000 At time 
BAUD T=1521000 At time 
BAUD T=1523000 At time 
BAUD T=1525000 At time 
BAUD T=1527000 At time 
BAUD T=1529000 At time 
BAUD T=1531000 At time 
BAUD T=1533000 At time 
BAUD T=1535000 At time 
BAUD T=1537000 At time 
BAUD T=1539000 At time 
BAUD T=1541000 At time 
BAUD T=1543000 At time 
BAUD T=1545000 At time 
BAUD T=1547000 At time 
BAUD T=1549000 At time 
BAUD T=1551000 At time 
BAUD T=1553000 At time 
BAUD T=1555000 At time 
BAUD T=1557000 At time 
BAUD T=1559000 At time 
BAUD T=1561000 At time 
BAUD T=1563000 At time 
BAUD T=1565000 At time 
BAUD T=1567000 At time 
BAUD T=1569000 At time 
BAUD T=1571000 At time 
BAUD T=1573000 At time 
BAUD T=1575000 At time 
BAUD T=1577000 At time 
BAUD T=1579000 At time 
BAUD T=1581000 At time 
BAUD T=1583000 At time 
BAUD T=1585000 At time 
BAUD T=1587000 At time 
BAUD T=1589000 At time 
BAUD T=1591000 At time 
BAUD T=1593000 At time 
BAUD T=1595000 At time 
BAUD T=1597000 At time 
BAUD T=1599000 At time 
BAUD T=1601000 At time 
BAUD T=1603000 At time 
BAUD T=1605000 At time 
BAUD T=1607000 At time 
BAUD T=1609000 At time 
BAUD T=1611000 At time 
BAUD T=1613000 At time 
BAUD T=1615000 At time 
BAUD T=1617000 At time 
BAUD T=1619000 At time 
BAUD T=1621000 At time 
BAUD T=1623000 At time 
BAUD T=1625000 At time 
BAUD T=1627000 At time 
BAUD T=1629000 At time 
BAUD T=1631000 At time 
BAUD T=1633000 At time 
BAUD T=1635000 At time 
BAUD T=1637000 At time 
BAUD T=1639000 At time 
BAUD T=1641000 At time 
BAUD T=1643000 At time 
BAUD T=1645000 At time 
BAUD T=1647000 At time 
BAUD T=1649000 At time 
BAUD T=1651000 At time 
BAUD T=1653000 At time 
BAUD T=1655000 At time 
BAUD T=1657000 At time 
BAUD T=1659000 At time 
BAUD T=1661000 At time 
BAUD T=1663000 At time 
BAUD T=1665000 At time 
BAUD T=1667000 At time 
BAUD T=1669000 At time 
BAUD T=1671000 At time 
BAUD T=1673000 At time 
BAUD T=1675000 At time 
BAUD T=1677000 At time 
BAUD T=1679000 At time 
BAUD T=1681000 At time 
BAUD T=1683000 At time 
BAUD T=1685000 At time 
BAUD T=1687000 At time 
BAUD T=1689000 At time 
BAUD T=1691000 At time 
BAUD T=1693000 At time 
BAUD T=1695000 At time 
BAUD T=1697000 At time 
BAUD T=1699000 At time 
BAUD T=1701000 At time 
BAUD T=1703000 At time 
BAUD T=1705000 At time 
BAUD T=1707000 At time 
BAUD T=1709000 At time 
BAUD T=1711000 At time 
BAUD T=1713000 At time 
BAUD T=1715000 At time 
BAUD T=1717000 At time 
BAUD T=1719000 At time 
BAUD T=1721000 At time 
BAUD T=1723000 At time 
BAUD T=1725000 At time 
BAUD T=1727000 At time 
BAUD T=1729000 At time 
BAUD T=1731000 At time 
BAUD T=1733000 At time 
BAUD T=1735000 At time 
BAUD T=1737000 At time 
BAUD T=1739000 At time 
BAUD T=1741000 At time 
BAUD T=1743000 At time 
BAUD T=1745000 At time 
BAUD T=1747000 At time 
BAUD T=1749000 At time 
BAUD T=1751000 At time 
BAUD T=1753000 At time 
BAUD T=1755000 At time 
BAUD T=1757000 At time 
BAUD T=1759000 At time 
BAUD T=1761000 At time 
BAUD T=1763000 At time 
BAUD T=1765000 At time 
BAUD T=1767000 At time 
BAUD T=1769000 At time 
BAUD T=1771000 At time 
BAUD T=1773000 At time 
BAUD T=1775000 At time 
BAUD T=1777000 At time 
BAUD T=1779000 At time 
BAUD T=1781000 At time 
BAUD T=1783000 At time 
BAUD T=1785000 At time 
BAUD T=1787000 At time 
BAUD T=1789000 At time 
BAUD T=1791000 At time 
BAUD T=1793000 At time 
BAUD T=1795000 At time 
BAUD T=1797000 At time 
BAUD T=1799000 At time 
BAUD T=1801000 At time 
BAUD T=1803000 At time 
BAUD T=1805000 At time 
BAUD T=1807000 At time 
BAUD T=1809000 At time 
BAUD T=1811000 At time 
BAUD T=1813000 At time 
BAUD T=1815000 At time 
BAUD T=1817000 At time 
BAUD T=1819000 At time 
BAUD T=1821000 At time 
BAUD T=1823000 At time 
BAUD T=1825000 At time 
BAUD T=1827000 At time 
BAUD T=1829000 At time 
BAUD T=1831000 At time 
BAUD T=1833000 At time 
BAUD T=1835000 At time 
BAUD T=1837000 At time 
BAUD T=1839000 At time 
BAUD T=1841000 At time 
BAUD T=1843000 At time 
BAUD T=1845000 At time 
BAUD T=1847000 At time 
BAUD T=1849000 At time 
BAUD T=1851000 At time 
BAUD T=1853000 At time 
BAUD T=1855000 At time 
BAUD T=1857000 At time 
BAUD T=1859000 At time 
BAUD T=1861000 At time 
BAUD T=1863000 At time 
BAUD T=1865000 At time 
BAUD T=1867000 At time 
BAUD T=1869000 At time 
BAUD T=1871000 At time 
BAUD T=1873000 At time 
BAUD T=1875000 At time 
BAUD T=1877000 At time 
BAUD T=1879000 At time 
BAUD T=1881000 At time 
BAUD T=1883000 At time 
BAUD T=1885000 At time 
BAUD T=1887000 At time 
BAUD T=1889000 At time 
BAUD T=1891000 At time 
BAUD T=1893000 At time 
BAUD T=1895000 At time 
BAUD T=1897000 At time 
BAUD T=1899000 At time 
BAUD T=1901000 At time 
BAUD T=1903000 At time 
BAUD T=1905000 At time 
BAUD T=1907000 At time 
BAUD T=1909000 At time 
BAUD T=1911000 At time 
BAUD T=1913000 At time 
BAUD T=1915000 At time 
BAUD T=1917000 At time 
BAUD T=1919000 At time 
BAUD T=1921000 At time 
BAUD T=1923000 At time 
BAUD T=1925000 At time 
BAUD T=1927000 At time 
BAUD T=1929000 At time 
BAUD T=1931000 At time 
BAUD T=1933000 At time 
BAUD T=1935000 At time 
BAUD T=1937000 At time 
BAUD T=1939000 At time 
BAUD T=1941000 At time 
BAUD T=1943000 At time 
BAUD T=1945000 At time 
BAUD T=1947000 At time 
BAUD T=1949000 At time 
BAUD T=1951000 At time 
BAUD T=1953000 At time 
BAUD T=1955000 At time 
BAUD T=1957000 At time 
BAUD T=1959000 At time 
BAUD T=1961000 At time 
BAUD T=1963000 At time 
BAUD T=1965000 At time 
BAUD T=1967000 At time 
BAUD T=1969000 At time 
BAUD T=1971000 At time 
BAUD T=1973000 At time 
BAUD T=1975000 At time 
BAUD T=1977000 At time 
BAUD T=1979000 At time 
BAUD T=1981000 At time 
BAUD T=1983000 At time 
BAUD T=1985000 At time 
BAUD T=1987000 At time 
BAUD T=1989000 At time 
BAUD T=1991000 At time 
BAUD T=1993000 At time 
BAUD T=1995000 At time 
BAUD T=1997000 At time 
BAUD T=1999000 At time 
BAUD T=2001000 At time 
BAUD T=2003000 At time 
BAUD T=2005000 At time 
BAUD T=2007000 At time 
BAUD T=2009000 At time 
BAUD T=2011000 At time 
BAUD T=2013000 At time 
BAUD T=2015000 At time 
BAUD T=2017000 At time 
BAUD T=2019000 At time 
BAUD T=2021000 At time 
BAUD T=2023000 At time 
BAUD T=2025000 At time 
BAUD T=2027000 At time 
BAUD T=2029000 At time 
BAUD T=2031000 At time 
BAUD T=2033000 At time 
BAUD T=2035000 At time 
BAUD T=2037000 At time 
BAUD T=2039000 At time 
BAUD T=2041000 At time 
BAUD T=2043000 At time 
BAUD T=2045000 At time 
BAUD T=2047000 At time 
BAUD T=2049000 At time 
BAUD T=2051000 At time 
BAUD T=2053000 At time 
BAUD T=2055000 At time 
BAUD T=2057000 At time 
BAUD T=2059000 At time 
BAUD T=2061000 At time 
BAUD T=2063000 At time 
